"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 22:58:06 GMT 2024","Sat Apr 13 22:58:11 GMT 2024","5212","","guru.qa.tests.SelenideTest","","guru.qa.tests.SelenideTest","testWorkflowSearch","Search for workflow number on the Actions tab of the 'selenide-puzzles' repository using Selenide",""
"passed","Sat Apr 13 22:58:11 GMT 2024","Sat Apr 13 22:58:13 GMT 2024","2391","","guru.qa.tests.StepsTest","","guru.qa.tests.StepsTest","testWorkflowSearchWithLambda","Search for workflow number on the actions tab of the 'selenide-puzzles' repository with lambda functions",""
"passed","Sat Apr 13 22:58:13 GMT 2024","Sat Apr 13 22:58:15 GMT 2024","2120","","guru.qa.tests.StepsTest","","guru.qa.tests.StepsTest","testWorkflowSearchWithAnnotatedStep","Search for workflow number on the actions tab of the 'selenide-puzzles' repository with annotated steps",""
