"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 22:33:55 GMT 2024","Sat Apr 13 22:33:58 GMT 2024","2738","","guru.qa.tests.StepsTest","","guru.qa.tests.StepsTest","testWorkflowSearchWithAnnotatedStep","Search for workflow number on the actions tab of the 'selenide-puzzles' repository with annotated steps",""
"passed","Sat Apr 13 22:33:52 GMT 2024","Sat Apr 13 22:33:55 GMT 2024","2868","","guru.qa.tests.StepsTest","","guru.qa.tests.StepsTest","testWorkflowSearchWithLambda","Search for workflow number on the actions tab of the 'selenide-puzzles' repository with lambda functions",""
"passed","Sat Apr 13 22:33:47 GMT 2024","Sat Apr 13 22:33:52 GMT 2024","5717","","guru.qa.tests.SelenideTest","","guru.qa.tests.SelenideTest","testWorkflowSearch","Search for workflow number on the Actions tab of the 'selenide-puzzles' repository using Selenide",""
